brand;diagonal;old_price;new_price;product_code;name;url
HP;31.5;16132;15290;WG00298412;Монітор HP OMEN (32q), 31.5, QHD, IPS, Display HDR 400, 165Hz, 1ms, 2xHDMI, DP, HAS, чорний;https://nimpha.ua/298546-monitor-hp-omen-32q-315-qhd-ips-display-hdr-400-165hz-1ms-2xhdmi-dp-has-chorniy
AOC;27;7264;7111;WG00303834;Монiтор AOC 27 27G4X;https://nimpha.ua/303771-monitor-aoc-27-27g4x
iiyama;23.8;28298;20038;WG00304051;Монітор IIYAMA 23.8 ProLite (TW2424AS-W1);https://nimpha.ua/303954-monitor-iiyama-238-prolite-tw2424as-w1
ASUS;25;5999;5540;WG00304083;Монітор Asus VG259Q3A 24.5 IPS,1920*1080,180 Гц,HDMI*2, DP;https://nimpha.ua/304019-monitor-asus-245-vg259q3a-90lm09n0-b01170
HP;23.8;5705;5668;WG00311287;Монітор 23.8 HP S5 524SA, IPS, 100Hz, VGA, HDMI, колонки, сріблястий;https://nimpha.ua/311485-monitor-238-hp-s5-524sa-ips-100hz-vga-hdmi-kolonki-sriblyastiy
iiyama;21.5;12959;12959;WG00312876;Монітор iiyama T2252MSC-B2 21.5 IPS, сенсорний, 1920х1080, проекційно-ємністна технологія, 1xHDMI/1xDP/2xUSB;https://nimpha.ua/313010-monitor-iiyama-t2252msc-b2-215-ips-sensorniy-1920kh1080-proektsiyno-emnistna-tekhnologiya-1xhdmi-1xdp-2xusb
Samsung;32;12380;12299;WG00312910;Монiтор SAMSUNG 32 LS32D700EAIXCI, VA, 4K, HDMI ,DP ,5ms;https://nimpha.ua/313042-monitor-samsung-32-ls32d700eaixci-va-4k-hdmi-dp-5ms
iiyama;21.5;13559;12959;WG00319331;Монітор IIYAMA T2255MSC-B1 21.5 IPS, 1xHDMI/1xDisplayPort/2xUSB 3.0, SP;https://nimpha.ua/319534-monitor-iiyama-t2255msc-b1-215-ips-1xhdmi-1xdisplayport-2xusb-30-sp
iiyama;27;12057;12057;WG00329233;Монітор iiyama 27 IPS РК, 2560х1440, 100Гц, 16:9, 1 мс (MPRT), Adaptive Sync, KVM свіч, 1xHDMI 2.0, 1xDP (XUB2797QSNP-B1);https://nimpha.ua/329356-monitor-iiyama-27-ips-rk-2560kh1440-100gts-169-1-ms-mprt-adaptive-sync-kvm-svich-1xhdmi-20-1xdp-xub2797qsnp-b1
iiyama;23.8;5651;5651;WG00329221;Монітор ігровий iiyama 23.8 IPS РК, 1920х1080, 100Гц, 16:9, 1 мс (MPRT),  Adaptive Sync, 1xHDMI 1.4, 1xDP (GB2445HSU-B2);https://nimpha.ua/329390-monitor-igroviy-iiyama-238-ips-rk-1920kh1080-100gts-169-1-ms-mprt--adaptive-sync-1xhdmi-14-1xdp-gb2445hsu-b2
Philips;27;7269;7236;WG00329503;Монітор ігровий Philips 27 VA, вигнутий, 1920x1080, 280Гц, 2xHDMI, DP (27M2C5200W/00);https://nimpha.ua/329630-monitor-igroviy-philips-27-va-vignutiy-1920x1080-280gts-2xhdmi-dp-27m2c5200w-00
HP;24;15762;15672;WG00330690;Монітор HP S7 Pro 724pu 24 IPS, WUXGA, 100Hz, HDMI, DP, USB-C, RJ-45, HAS, Pivot, чорно-сріблястий (8Y2F7AA);https://nimpha.ua/330652-monitor-hp-s7-pro-724pu-24-ips-wuxga-100hz-hdmi-dp-usb-c-rj-45-has-pivot-chorno-sriblyastiy-8y2f7aa
Dell;23.8;7369;7321;WG00331750;Монітор DELL 24 P2425H (210-BMFF) IPS Full HD / 100Hz / 8-Bit / 99% sRGB / HAS / Pivot;https://nimpha.ua/332012-monitor-dell-24-p2425h-210-bmff-ips-full-hd---100hz---8-bit---99-srgb---has---pivot
ASUS;26.5;36230;36069;WG00332719;Монітор ігровий ASUS XG27ACDNG 27 QD-OLED, 2560x1440, 360Гц (90LM0AN0-B01970);https://nimpha.ua/333464-monitor-igroviy-asus-xg27acdng-27-qd-oled-2560x1440-360gts-90lm0an0-b01970
Acer;31.5;8559;8281;WG00333757;Монітор Acer ED320QXbiipx 31.5 VA Black (UM.JE0EE.X01);https://nimpha.ua/334670-monitor-acer-ed320qxbiipx-315-va-black-umje0eex01
;75;235353;235353;WG00340191;Дисплей LG 75UH5J-M, 75 UHD, 500nit, 24/7, webOS, WiFi, IP5x;https://nimpha.ua/340761-displey-lg-75uh5j-m-75-uhd-500nit-24-7-webos-wifi-ip5x
MSI;21.45;3168;3168;WG00368213;Монітор MSI VA 21.45 FHD (1920 x 1080) 1ms 100Hz 178/ 178 /VGA/ HDMI /Mic/HP PRO MP225V;https://nimpha.ua/368840-monitor-msi-va-2145-fhd-1920-x-1080-1ms-100hz-178--178--vga--hdmi--mic-hp-pro-mp225v
BenQ;24.5;10455;9822;WG00370914;Монітор ігровий BenQ EX251, 24.5 IPS, 1920x1080, 16:9, 220Гц, 1мс (GtG), FreeSync, HDRi, 2xHDMI 2.0/1xDP (9H.LN9LA.TBE);https://nimpha.ua/371551-monitor-igroviy-benq-ex251-245-ips-1920x1080-169-220gts-1ms-gtg-freesync-hdri-2xhdmi-20-1xdp-9hln9latbe
iiyama;27;7896;7896;WG00370926;Монітор iiyama XU2793QSU-B7, 27 IPS, 2560х1440, 16:9, 1мс (MPRT), 100Гц, Adaptive Sync, 1xHDMI/1xDP/2xUSB 3.2;https://nimpha.ua/371604-monitor-iiyama-xu2793qsu-b7-27-ips-2560kh1440-169-1ms-mprt-100gts-adaptive-sync-1xhdmi-1xdp-2xusb-32
;65;70359;70359;WG00370953;Дисплей інтерактивний iiyama TE6513A-B1AG, 64.5 IPS, UHD, 16:9, 8GB/128GB, 18/7, 450кд/м2, Android 14;https://nimpha.ua/371640-displey-interaktivniy-iiyama-te6513a-b1ag-645-ips-uhd-169-8gb-128gb-18-7-450kd-m2-android-14
;55;34019;34019;WG00370951;Дисплей iiyama LH5541UHS-B2, 54.6 IPS, UHD, 16:9, 18/7, медіаплеєр, 1xVGA/3xHDMI/1xRS232/1xLAN/1xUSB 2.0;https://nimpha.ua/371685-displey-iiyama-lh5541uhs-b2-546-ips-uhd-169-18-7-mediapleer-1xvga-3xhdmi-1xrs232-1xlan-1xusb-20
iiyama;34;15829;15003;WG00370943;Монітор iiyama GCB3482WQSU-B1, 34 VA, вигнутий, 21:9, 0.6мс (MPRT), 120Гц, Adaptive Sync, HDR, 2xHDMI 2.0/1xDP 1.4;https://nimpha.ua/371718-monitor-iiyama-gcb3482wqsu-b1-34-va-vignutiy-219-06ms-mprt-120gts-adaptive-sync-hdr-2xhdmi-20-1xdp-14
MSI;23.6;5469;5169;WG00371315;Монітор MSI MAG 244C, вигнутий, 23.6 VA, 1920x1080, 1500R, 1ms, 180Hz, 178/178, DP/HDMI;https://nimpha.ua/372025-monitor-msi-mag-244c-vignutiy-236-va-1920x1080-1500r-1ms-180hz-178-178-dp-hdmi
Samsung;32;21999;21999;WG00371324;Монітор ігровий Samsung LS32DG700EIXUA, 32 IPS, 3840x2160, 144Гц;https://nimpha.ua/372162-monitor-igroviy-samsung-ls32dg700eixua-32-ips-3840x2160-144gts
AOC;24;5616;5486;WG00373119;Монітор AOC 24G42E, 23.8 Fast IPS, 180Гц, HDMI/DP, чорний;https://nimpha.ua/373531-monitor-aoc-24g42e-238-fast-ips-180gts-hdmi-dp-chorniy
AOC;25;11004;10620;WG00373121;Монітор AOC 25G4SXU, 24.5 Fast IPS, 300Гц, 2xHDMI/DP, HAS, Pivot, чорно-сірий;https://nimpha.ua/373759-monitor-aoc-25g4sxu-245-fast-ips-300gts-2xhdmi-dp-has-pivot-chorno-siriy
Philips;31.5;10364;10364;WG00158625;Монітор, Philips E-Line 325E1C (325E1C/00), 31.5, VA, 2560x1440, 75Гц;https://nimpha.ua/175927-monitor-315%E2%80%9C-philips-325e1c-00
LG;23.8;5010;4999;WG00196450;Монітор, LG 24MP60G-B, 23.8, IPS, 1920x1080, 75Гц;https://nimpha.ua/207999-monitor-lg-24mp60g-b
Dell;27;6499;6494;WG00211684;Монітор Dell E2722H (210-BBRO);https://nimpha.ua/217549-monitor-dell-e2722h-210-bbro
BenQ;32;103585;92095;WG00233725;Монітор 32 BenQ SW321C, IPS, 4K, 99% Adobe RGB, HDMI, DP, USB Type-C, USB хаб, Card Reader, сірий;https://nimpha.ua/234731-monitor-32-benq-sw321c-ips-4k-99-adobe-rgb-hdmi-dp-usb-type-c-usb-khab-card-reader-siriy
Dell;31.5;58447;58447;WG00237296;Монітор DELL 31.5 U3223QZ HDMI, DP, USB-C, MM, RJ-45, IPS Black, 3840x2160, sRGB 100%, HAS, Cam;https://nimpha.ua/238293-monitor-lcd-315-dell-u3223qz-hdmi-dp-usb-c-mm-rj-45-ips-black-3840x2160-100srgb-has-cam
ASUS;31.5;12442;12357;WG00240659;Монітор Asus 31.5 TUF Gaming VG32AQA1A 2xHDMI, DP, MM, VA, 2560x1440, 170Hz, 1ms, CURVED, FreeSync, HDR10;https://nimpha.ua/241788-monitor-asus-315-tuf-gaming-vg32aqa1a-2xhdmi-dp-mm-va-2560x1440-170hz-1ms-curved-freesync-hdr10
ASUS;27;4969;4869;WG00253677;Монітор Asus VA27EHF 27 IPS,1920*1080,100 Гц,HDM;https://nimpha.ua/254470-monitor-asus-27-va27ehf-hdmi-ips-100hz-1ms-adaptivesync
HP;27;8825;8809;WG00258240;Монітор TFT 27 HP M27fq, IPS, QHD, HDMI 1.4 x 2, DP, чорний з сірим;https://nimpha.ua/258863-monitor-tft-27-hp-m27fq-ips-qhd-hdmi-14-x-2-dp-chorniy-z-sirim
Philips;15.6;14799;13499;WG00258201;Монітор TFT 15.6 Philips 162B9T сенсорний (10д.), D-SUB, DVI-D, DP, HDMI, USB, HAS, колонки, чорний;https://nimpha.ua/258947-monitor-tft-156-philips-162b9t-sensorniy-10d-d-sub-dvi-d-dp-hdmi-usb-has-kolonki-chorniy
Philips;34;37703;36103;WG00258247;Монітор TFT 34 Philips 34M2C8600, QD-OLED WQHD, вигнутий, 175Hz, 0.1ms, 2хHDMI, DP, USB-C, USB-hub, HAS;https://nimpha.ua/259062-monitor-tft-34-philips-34m2c8600-qd-oled-wqhd-vignutiy-175hz-01ms-2khhdmi-dp-usb-c-usb-hub-has
MSI;21.45;3799;3399;WG00276822;Монітор LCD 21.45 MSI PRO MP223 D-Sub, HDMI, Audio, VA, 100Hz, 4ms, 99%sRGB;https://nimpha.ua/276543-monitor-lcd-2145-msi-pro-mp223-d-sub-hdmi-audio-va-100hz-4ms-99srgb
ASUS;23.8;8749;8567;WG00282532;Монітор Asus 23.8 BE24EQK D-Sub, HDMI, DP, MM, IPS, Cam;https://nimpha.ua/282421-monitor-asus-238-be24eqk-d-sub-hdmi-dp-mm-ips-cam
MSI;23.8;6499;6073;WG00287113;Монітор 24 MODERN MD2412P MSI;https://nimpha.ua/286573-monitor-24-modern-md2412p-msi
iiyama;42.5;26908;26908;WG00294483;Монітор iiyama 42,5 16:9 VA UHD РК монітор, 3 мс, 60 Гц, PiP/PbP , 2xHDMI, 1xDP, 1xmDP, 1xDP out, 2xUSB 3.0, 2xUSB  X4373UHSU-B1;https://nimpha.ua/294419-monitor-iiyama-425-169-va-uhd-rk-monitor-3-ms-60-gts-pip-pbp--2xhdmi-1xdp-1xmdp-1xdp-out-2xusb-30-2xusb--x4373uhsu-b1
BenQ;31.5;16693;16583;WG00295345;Монітор BenQ GW3290QT WHITE 31,5 16:9 IPS, 2560х1440, 75 Гц, 5 мс,  1xHDMI 1.4/1xDP 1.2/1xDP Out/3xUSB 3.2/USB Type C;https://nimpha.ua/295278-monitor-benq-315-16%3A9-ips-rk-2560kh1440-75-gts-5-ms-1xhdmi-14-1xdp-12-1xdp-out-3xusb-32-usb-type-c-gw3290qt-white
iiyama;27;8609;8251;WG00296097;Монітор iiyama XU2792QSU-B6 27 16:9 IPS РК, 2560х1440, 0.4 мс (MPRT),  100 Гц, FreeSync, 1xHDMI/1xDP/4xUSB 3.2, SP 2x2;https://nimpha.ua/296007-monitor-iiyama-xu2792qsu-b6-27-169-ips-rk-2560kh1440-04-ms-mprt--100-gts-freesync-1xhdmi-1xdp-4xusb-32-sp-2x2
iiyama;31.5;16749;15999;WG00296328;Монітор iiyama GB3271QSU-B1 31,5 16:9 IPS WQHD РК монітор, 165 Гц, 1 мс, 2xHD MI, 2xDP, 4xUSB 3.0, HDR, FreeSync Premium;https://nimpha.ua/296230-monitor-iiyama-gb3271qsu-b1-315-169-ips-wqhd-rk-monitor-165-gts-1-ms-2xhd-mi-2xdp-4xusb-30-hdr-freesync-premium
HP;27;6769;6670;WG00298405;Монітор HP (P27 G5), 27, IPS, 75Hz, HDMI, DP, VGA, чорний;https://nimpha.ua/298060-monitor-hp-p27-g5-27-ips-75hz-hdmi-dp-vga-chorniy
ASRock;27;4099;3961;WG00302967;Монітор ASRock CL27FF 27 HDMI, VGA, IPS, 100Hz, 1ms 1920х1080;https://nimpha.ua/302895-monitor-asrock-cl27ff-27-hdmi-vga-ips-100hz-1ms-1920kh1080
iiyama;21.5;13449;13399;WG00304048;Монітор iiyama 21.5 ProLite (T2252MSC-W2);https://nimpha.ua/303937-monitor-iiyama-215-prolite-t2252msc-w2
iiyama;23.8;6169;5969;WG00304055;Монітор Iiyama 23.8 ProLite (XUB2492HSU-W6);https://nimpha.ua/304002-monitor-iiyama-238-prolite-xub2492hsu-w6
HP;21.5;3813;3745;WG00311281;Монітор 21.5'' HP V22v G5, VA, HDMI, чорний;https://nimpha.ua/311263-monitor-215-hp-v22v-g5-va-hdmi-chorniy
Philips;23.8;5181;5181;WG00312802;Монітор 23.8 Philips 24M2N3200S, IPS, 180Гц, 0,5мс, 2xHDMI, DP, колонки, чорно-сірий;https://nimpha.ua/312796-monitor-238-philips-24m2n3200s-ips-180gts-05ms-2xhdmi-dp-kolonki-chorno-siriy
ASUS;24.5;13921;13469;WG00312924;Монітор Asus 24.5 ROG Strix XG259CMS HDMI, DP, USB-C, Audio, IPS, 310Hz, 1ms;https://nimpha.ua/312994-monitor-asus-245-rog-strix-xg259cms-hdmi-dp-usb-c-audio-ips-310hz-1ms
ASUS;27;11947;11947;WG00312885;Монітор Asus ROG Strix XG27ACS-W 27 HDMI, DP, USB-C, Audio, IPS, 2560x1440, 180Hz, 1ms, sRGB 133%, AdaptiveSync, Pivot, HDR400, білий;https://nimpha.ua/313035-monitor-asus-rog-strix-xg27acs-w-27-hdmi-dp-usb-c-audio-ips-2560x1440-180hz-1ms-srgb-133-adaptivesync-pivot-hdr400-biliy
ASUS;27;21999;20799;WG00318086;Монітор Asus XG27WCMS 27 VA,2560*1440,280 Гц,H DMI,DP,USB-C;https://nimpha.ua/318273-monitor-asus-xg27wcms-27-va25601440280-gtsh-dmidpusb-c
iiyama;32;56649;54399;WG00329240;Монітор iiyama 31.5 IPS FHD РК, сенсорний, 16:9, 24/7, 500 кд/м2, проекційно-ємнісна технологія, ОС Android (TF3239AS-B1AG);https://nimpha.ua/329349-monitor-iiyama-315-ips-fhd-rk-sensorniy-169-24-7-500-kd-m2-proektsiyno-emnisna-tekhnologiya-os-android-tf3239as-b1ag
iiyama;23.8;5810;5810;WG00329217;Монітор iiyama 23.8 IPS РК, 1920х1080, 100Гц, 16:9, 1 мс (MPRT), Adaptive Sync, 1xHDMI 1.4, 1xDP 1.2, 2xUSB (XUB2497HSU-B2);https://nimpha.ua/329369-monitor-iiyama-238-ips-rk-1920kh1080-100gts-169-1-ms-mprt-adaptive-sync-1xhdmi-14-1xdp-12-2xusb-xub2497hsu-b2
iiyama;23.8;7811;7811;WG00329215;Монітор iiyama 23.8 IPS РК, 1920х1080, 100Гц, 16:9, 1 мс (MPRT), Adaptive Sync, 1xHDMI 1.4, 1xDP 1.2 (XUB2497HSN-B2);https://nimpha.ua/329401-monitor-iiyama-238-ips-rk-1920kh1080-100gts-169-1-ms-mprt-adaptive-sync-1xhdmi-14-1xdp-12-xub2497hsn-b2
ASUS;27;21469;21469;WG00329505;Монітор професійний Asus PA278CFRV 27 IPS, 2560x1440, 100Гц (90LM06Q0-B01M70);https://nimpha.ua/329641-monitor-profesiyniy-asus-pa278cfrv-27-ips-2560x1440-100gts-90lm06q0-b01m70
AOC;27;28422;27201;WG00330698;Монітор AOC AG276QZD2 27 QD-OLED, QHD 2K, 240Гц, 0.03мс, 2xHDMI, 2xDP, USB-hub, HAS, Pivot, чорно-сірий;https://nimpha.ua/331108-monitor-aoc%C2%A0ag276qzd2-27-qd-oled-qhd-2k%C2%A0240gts-003ms-2xhdmi-2xdp-usb-hub-has%C2%A0pivot-chorno-siriy
Philips;27;7999;7680;WG00332718;Монітор ігровий Philips 27M2N3201A/00 27 IPS, 1920x1080, 180Гц, білий;https://nimpha.ua/333299-monitor-igroviy-philips-27m2n3201a-00-27-ips-1920x1080-180gts-biliy
Dell;27;7109;6982;WG00333748;Монітор Dell S2725H 27 IPS, 100Hz, Black (210-BMHK);https://nimpha.ua/334263-monitor-dell-s2725h-27-ips-100hz-black-210-bmhk
2E;27;8118;5599;WG00337865;Монітор 2E H2724B 27 IPS, 2560x1440, 100Hz, FreeSync, D-Sub/HDMI/DP (2E-H2724B-01.UA);https://nimpha.ua/338458-monitor-2e-h2724b-27-ips-2560x1440-100hz-freesync-d-sub-hdmi-dp-2e-h2724b-01ua
Samsung;21.5;3499;3399;WG00341264;Монітор Samsung S22D300 21.5 IPS, 100Hz, D-Sub, HDMI (LS22D300GAIXCI);https://nimpha.ua/341840-monitor-samsung-s22d300-215-ips-100hz-d-sub-hdmi-ls22d300gaixci
BenQ;28.2;31605;31395;WG00370933;Монітор BenQ RD280UA, 28.2 IPS, 3840х2560, 3:2, 60Гц, 5мс (GtG), KVM свіч, 1xHDMI 2.0/1xDP 1.4/1xUSB, Metallic Grey (9H.LM2LJ.TBE);https://nimpha.ua/371530-monitor-benq-rd280ua-282-ips-3840kh2560-32-60gts-5ms-gtg-kvm-svich-1xhdmi-20-1xdp-14-1xusb-metallic-grey-9hlm2ljtbe
;86;99749;99749;WG00370966;Дисплей iiyama LH8664UHS-B2AG, 85.6 IPS, 3840х2160, 16:9, 500кд/м2, 24/7, Android 14, 2xHDMI/1xUSB-C/2xUSB 2.0;https://nimpha.ua/371566-displey-iiyama-lh8664uhs-b2ag-856-ips-3840kh2160-169-500kd-m2-24-7-android-14-2xhdmi-1xusb-c-2xusb-20
GIGABYTE;27;6812;6798;WG00370977;Монiтор iгровий Gigabyte GS27FA Gaming Monitor, 27 SS IPS, 1920x1080, 180Hz, 1мс, 2xHDMI 2.0/1xDP 1.4;https://nimpha.ua/371619-monitor-igroviy-gigabyte-gs27fa-gaming-monitor-27-ss-ips-1920x1080-180hz-1ms-2xhdmi-20-1xdp-14
iiyama;27;6792;6792;WG00370917;Монітор iiyama XUB2797HSU-W2, 27 IPS, 16:9, 1мс (MPRT), 100Гц, Adaptive Sync, 1xHDMI 2.0/1xDP 1.4/2xUSB 3.2, SP 2х2Вт;https://nimpha.ua/371655-monitor-iiyama-xub2797hsu-w2-27-ips-169-1ms-mprt-100gts-adaptive-sync-1xhdmi-20-1xdp-14-2xusb-32-sp-2kh2vt
iiyama;34;16733;16733;WG00370945;Монітор iiyama XCB3497WQSNP-B1, 34.1 VA UWQHD, вигнутий, 21:9, 0.4 мс, 120Гц, FreeSync, HDR, 1xHDMI 2.0/1xHDMI 1.4/1xDP;https://nimpha.ua/371702-monitor-iiyama-xcb3497wqsnp-b1-341-va-uwqhd-vignutiy-219-04-ms-120gts-freesync-hdr-1xhdmi-20-1xhdmi-14-1xdp
Philips;31.5;14765;14227;WG00371303;Монітор Philips 32B1N3800/00, 31.5 VA, 3840x2160, 60Гц;https://nimpha.ua/371951-monitor-philips-32b1n3800-00-315-va-3840x2160-60gts
MSI;15.6;7499;7499;WG00371304;Монітор MSI PRO MP161 E2, 15.6 IPS, 1920x1080, 4ms, 60Hz, 2xUSB Type-C15W/Mini-HDMI, колонки 2x1.5W;https://nimpha.ua/372073-monitor-msi-pro-mp161-e2-156-ips-1920x1080-4ms-60hz-2xusb-type-c15w-mini-hdmi-kolonki-2x15w
Philips;42.51;29269;29069;WG00371322;Монітор Philips 439P1/00, 42.51 VA, 3840x2160, 60Гц, USB Type-C;https://nimpha.ua/372222-monitor-philips-439p1-00-4251-va-3840x2160-60gts-usb-type-c
BenQ;27;11824;11094;WG00373138;Монітор BenQ EX271, 27 IPS, 180Гц, 2xHDMI/DP/USB Type-C, колонки, білий (9H.LNALA.TBE);https://nimpha.ua/373692-monitor-benq-ex271-27-ips-180gts-2xhdmi-dp-usb-type-c-kolonki-biliy-9hlnalatbe
BenQ;27;26935;25318;WG00373134;Монітор BenQ PD2706UA, 27 IPS, 4K UHD, HDR10, HDMI/DP/USB Type-C/USB-hub, HAS, колонки (9H.LLKLB.QEE);https://nimpha.ua/373958-monitor-benq-pd2706ua-27-ips-4k-uhd-hdr10-hdmi-dp-usb-type-c-usb-hub-has-kolonki-9hllklbqee
ASUS;24.1;8299;7958;WG00167160;Монітор Asus ProArt PA248QV (90LM05K1-B01370);https://nimpha.ua/183684-monitor-asus-proart-display-pa248qv
LG;27;5999;5999;WG00207705;Монітор LG 27 27MP60G-B D-Sub, HDMI, DP, Audio, IPS, 75Hz, 1ms, FreeSync;https://nimpha.ua/215215-monitor-lg-27mp60g-b
2E;25.7;5699;5649;WG00226700;Монітор 2E 25.7 D2621W HDMI, DP, Audio, IPS, 2560x1080, 21:9, 75Hz, FreeSync, White;https://nimpha.ua/227849-monitor-lcd-257-2e-d2621w-d-sub-dvi-hdmi-dp-audio-ips-2560x1080-75hz-freesync-white
AOC;23.8;5996;5957;WG00233702;Монітор 23.8 AOC Q24V4EA, QHD, IPS, DP, HDMI, колонки, чорний;https://nimpha.ua/234719-monitor-238-aoc-q24v4ea-qhd-ips-dp-hdmi-kolonki-chorniy
Dell;42.51;46769;45509;WG00237299;Монітор DELL 43 U4323QE 2xHDMI, 2xDP, USB-C, RJ-45, MM, IPS, 3840x2160, sRGB 95%, HAS;https://nimpha.ua/238284-monitor-lcd-43-dell-u4323qe-2xhdmi-2xdp-usb-c-rj-45-mm-ips-3840x2160-95srgb-has
ASUS;32;32999;31409;WG00240660;Монітор Asus PA328CGV 32 IPS, 2560*1440,165 Гц,HDR10;https://nimpha.ua/241698-monitor-asus-32-proart-pa328cgv-2xhdmi-dp-usb-c-4xusb-mm-ips-2560x1440-165hz-dci-p3-95-freesync-pivot-hdr10
